id,original_title,popularity,release_date,title,vote_average,vote_count,month,day_of_week
12444,Harry Potter and the Deathly Hallows: Part 1,33.533,2010-11-19,Harry Potter and the Deathly Hallows: Part 1,7.7,10788,11,Friday
10191,How to Train Your Dragon,28.734,2010-03-26,How to Train Your Dragon,7.7,7610,3,Friday
10138,Iron Man 2,28.515,2010-05-07,Iron Man 2,6.8,12368,5,Friday
27205,Inception,27.92,2010-07-16,Inception,8.3,22186,7,Friday
32657,Percy Jackson & the Olympians: The Lightning Thief,26.691,2010-02-11,Percy Jackson & the Olympians: The Lightning Thief,6.1,4229,2,Thursday
19995,Avatar,26.526,2009-12-18,Avatar,7.4,18676,12,Friday
10193,Toy Story 3,24.445,2010-06-17,Toy Story 3,7.7,8340,6,Thursday
20352,Despicable Me,23.673000000000002,2010-07-09,Despicable Me,7.2,10057,7,Friday
38055,Megamind,22.855,2010-11-04,Megamind,6.8,3635,11,Thursday
12155,Alice in Wonderland,22.02,2010-03-05,Alice in Wonderland,6.6,8713,3,Friday
27578,The Expendables,21.517,2010-08-03,The Expendables,6.1,4647,8,Tuesday
38757,Tangled,21.511,2010-11-24,Tangled,7.5,6407,11,Wednesday
41439,Saw 3D,20.37,2010-10-28,Saw: The Final Chapter,6.0,1488,10,Thursday
24021,The Twilight Saga: Eclipse,20.34,2010-06-23,The Twilight Saga: Eclipse,6.0,4909,6,Wednesday
20504,The Book of Eli,18.985,2010-01-11,The Book of Eli,6.7,3495,1,Monday
52371,LelleBelle,18.586,2010-10-09,LelleBelle,4.5,36,10,Saturday
2502,The Bourne Supremacy,18.199,2004-07-23,The Bourne Supremacy,7.3,4367,7,Friday
11324,Shutter Island,18.06,2010-02-18,Shutter Island,8.1,12625,2,Thursday
2501,The Bourne Identity,17.935,2002-06-14,The Bourne Identity,7.4,5406,6,Friday
37834,Knight and Day,17.713,2010-06-23,Knight and Day,6.0,2494,6,Wednesday
10140,The Chronicles of Narnia: The Voyage of the Dawn Treader,17.382,2010-12-10,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,3196,12,Friday
41233,Step Up 3D,17.174,2010-08-06,Step Up 3D,6.7,1160,8,Friday
34544,The A-Team,17.097,2010-06-11,The A-Team,6.3,2703,6,Friday
45269,The King's Speech,16.798,2010-09-06,The King's Speech,7.7,5013,9,Monday
10196,The Last Airbender,16.595,2010-07-01,The Last Airbender,4.6,2143,7,Thursday
34851,Predators,16.215999999999998,2010-07-03,Predators,6.1,1979,7,Saturday
37799,The Social Network,15.889000000000001,2010-10-01,The Social Network,7.2,6116,10,Friday
38234,Undisputed III: Redemption,15.886,2010-05-22,Undisputed III: Redemption,7.4,302,5,Saturday
2503,The Bourne Ultimatum,15.62,2007-08-03,The Bourne Ultimatum,7.4,4440,8,Friday
18823,Clash of the Titans,15.574000000000002,2010-04-02,Clash of the Titans,5.7,3714,4,Friday
34806,The Back-Up Plan,15.49,2010-04-23,The Back-Up Plan,6.0,806,4,Friday
20662,Robin Hood,15.444,2010-05-14,Robin Hood,6.3,2569,5,Friday
35019,Nanny McPhee and the Big Bang,15.213,2010-08-20,Nanny McPhee and the Big Bang,6.1,953,8,Friday
10192,Shrek Forever After,15.040999999999999,2010-05-16,Shrek Forever After,6.1,3843,5,Sunday
37735,Easy A,14.69,2010-09-17,Easy A,6.8,4168,9,Friday
27022,The Sorcerer's Apprentice,14.463,2010-07-13,The Sorcerer's Apprentice,5.9,2879,7,Tuesday
22538,Scott Pilgrim vs. the World,14.383,2010-08-13,Scott Pilgrim vs. the World,7.3,3882,8,Friday
38365,Grown Ups,14.290999999999999,2010-06-24,Grown Ups,6.1,3171,6,Thursday
41283,Faster,14.172,2010-11-23,Faster,6.2,895,11,Tuesday
7978,The Wolfman,14.03,2010-02-12,The Wolfman,5.7,1009,2,Friday
44048,Unstoppable,14.01,2010-11-12,Unstoppable,6.4,1913,11,Friday
44214,Black Swan,13.745,2010-12-03,Black Swan,7.6,8374,12,Friday
44683,Tinker Bell and the Great Fairy Rescue,13.724,2010-09-21,Tinker Bell and the Great Fairy Rescue,6.5,451,9,Tuesday
61979,Tres metros sobre el cielo,13.720999999999998,2010-12-20,Three Steps Above Heaven,7.5,960,12,Monday
23759,Centurion,13.548,2010-02-15,Centurion,6.1,673,2,Monday
27581,The Other Guys,13.508,2010-08-06,The Other Guys,6.2,2187,8,Friday
23168,The Town,13.475999999999999,2010-09-17,The Town,7.1,2386,9,Friday
20533,Jonah Hex,13.467,2010-06-18,Jonah Hex,4.6,708,6,Friday
20526,TRON: Legacy,13.459000000000001,2010-12-10,TRON: Legacy,6.3,4387,12,Friday
9543,Prince of Persia: The Sands of Time,13.44,2010-05-27,Prince of Persia: The Sands of Time,6.2,4040,5,Thursday
7980,The Lovely Bones,13.285,2010-01-15,The Lovely Bones,6.8,2226,1,Friday
705,All About Eve,13.163,2000-10-06,All About Eve,8.2,685,10,Friday
